@relation all_src_data

@attribute author NUMERIC
@attribute sloc NUMERIC
@attribute McCab NUMERIC
@attribute Hv NUMERIC
@attribute Hd NUMERIC
@attribute He NUMERIC
@attribute loc_add NUMERIC
@attribute loc_remove NUMERIC
@attribute nfunctions NUMERIC
@attribute commit_age NUMERIC
@attribute num_commits NUMERIC
@attribute commitdate NUMERIC
@attribute bug {False,True}

@data
7,17,0,218.261,6.0,1309.57,28,0,0,-59,0,1338880890,False
7,10,0,20.6797,1.25,25.8496,23,0,0,0,0,1338880892,False
7,8,0,18.0947,2.0,36.1895,19,0,0,-59,0,1338880893,False
7,126,1,2859.03,25.625,73262.6,333,0,1,0,0,1342706878,False
7,21,0,44.9726,4.2,188.885,92,0,0,0,0,1342706878,False
7,17,0,218.261,6.0,1309.57,28,0,0,0,0,1343374276,False
7,10,0,20.6797,1.25,25.8496,23,0,0,0,0,1343374277,False
7,8,0,18.0947,2.0,36.1895,19,0,0,-7,1,1343374278,False
7,17,0,218.261,6.0,1309.57,3,3,0,-7,1,1343396902,False
7,10,0,20.6797,1.25,25.8496,7,7,0,52,1,1343396902,False
7,8,0,18.0947,2.0,36.1895,3,3,0,-7,2,1343396902,False
7,17,0,218.261,6.0,1309.57,3,3,0,0,0,1343647063,False
7,10,0,20.6797,1.25,25.8496,7,7,0,0,0,1343647063,False
7,8,0,18.0947,2.0,36.1895,3,3,0,-4,3,1343647063,False
7,470,28,7613.0,33.5333,255289.0,816,0,1,0,0,1343648581,False
7,25,0,100.0,3.9,390.0,98,0,0,0,0,1343648581,False
7,472,28,8156.54,34.6204,282383.0,57,53,1,0,0,1343663170,False
7,25,0,100.0,3.9,390.0,1,1,0,0,0,1343663170,False
7,558,32,9709.62,35.3613,343345.0,374,191,1,0,0,1343902351,False
7,25,0,100.0,3.9,390.0,3,3,0,0,0,1343902351,False
7,17,0,218.261,6.0,1309.57,28,0,0,-1,2,1343906449,False
7,10,0,20.6797,1.25,25.8496,23,0,0,0,0,1343906450,False
7,8,0,18.0947,2.0,36.1895,19,0,0,-1,4,1343906451,False
7,10,0,20.6797,1.25,25.8496,7,7,0,0,1,1343909108,False
7,191,0,2330.48,10.7536,25061.1,303,0,1,0,0,1343910456,False
7,21,0,44.9726,4.2,188.885,92,0,0,0,0,1343910456,False
7,560,32,9754.23,35.4774,346055.0,6,4,1,0,0,1343981322,False
7,25,0,100.0,3.9,390.0,2,2,0,0,0,1343981322,False
7,17,0,218.261,6.0,1309.57,28,0,0,0,3,1344002280,False
7,10,0,20.6797,1.25,25.8496,23,0,0,0,0,1344002281,False
7,8,0,18.0947,2.0,36.1895,19,0,0,0,5,1344002282,False
7,17,0,218.261,6.0,1309.57,3,3,0,0,4,1344006854,False
7,10,0,20.6797,1.25,25.8496,7,7,0,0,1,1344006854,False
7,8,0,18.0947,2.0,36.1895,3,3,0,0,6,1344006854,False
7,42,0,170.967,5.75,983.06,141,0,0,0,0,1344007265,False
7,110,0,1138.86,4.65116,5297.04,220,0,0,0,0,1344007266,False
7,117,0,666.803,47.0,31339.7,267,0,0,0,0,1344007266,False
7,119,0,1336.13,4.725,6313.24,191,0,0,0,0,1344007266,False
7,66,0,427.502,6.84091,2924.5,168,0,1,0,0,1344007266,False
7,21,0,44.9726,4.2,188.885,92,0,0,0,0,1344007267,False
7,17,0,218.261,6.0,1309.57,28,0,0,0,0,1344616361,False
7,10,0,20.6797,1.25,25.8496,23,0,0,0,0,1344616363,False
7,8,0,18.0947,2.0,36.1895,19,0,0,7,8,1344616364,False
7,17,0,218.261,6.0,1309.57,3,3,0,0,0,1344616696,False
7,10,0,20.6797,1.25,25.8496,7,7,0,0,0,1344616696,False
7,8,0,18.0947,2.0,36.1895,3,3,0,7,7,1344616696,False
7,222,13,3652.48,33.8333,123575.0,382,0,1,0,0,1344616820,False
7,21,0,44.9726,4.2,188.885,92,0,0,0,0,1344616820,False
7,17,0,218.261,6.0,1309.57,28,0,0,82,5,1351085699,False
7,10,0,20.6797,1.25,25.8496,23,0,0,0,0,1351085700,False
7,8,0,18.0947,2.0,36.1895,19,0,0,82,10,1351085701,False
7,17,0,218.261,6.0,1309.57,28,0,0,0,0,1351086244,False
7,10,0,20.6797,1.25,25.8496,23,0,0,0,0,1351086245,False
7,8,0,18.0947,2.0,36.1895,19,0,0,82,9,1351086246,False
7,17,0,218.261,6.0,1309.57,28,0,0,89,7,1351684998,False
7,10,0,20.6797,1.25,25.8496,23,0,0,0,0,1351684998,False
7,8,0,18.0947,2.0,36.1895,19,0,0,89,12,1351684999,False
7,17,0,218.261,6.0,1309.57,28,0,0,89,6,1351685117,False
7,10,0,20.6797,1.25,25.8496,23,0,0,0,0,1351685118,False
7,8,0,18.0947,2.0,36.1895,19,0,0,89,11,1351685119,False
7,17,0,218.261,6.0,1309.57,28,0,0,0,0,1351685277,False
7,10,0,20.6797,1.25,25.8496,23,0,0,0,0,1351685278,False
7,8,0,18.0947,2.0,36.1895,19,0,0,0,0,1351685279,False
