@relation all_src_data

@attribute author NUMERIC
@attribute sloc NUMERIC
@attribute McCab NUMERIC
@attribute Hv NUMERIC
@attribute Hd NUMERIC
@attribute He NUMERIC
@attribute loc_add NUMERIC
@attribute loc_remove NUMERIC
@attribute nfunctions NUMERIC
@attribute commit_age NUMERIC
@attribute num_commits NUMERIC
@attribute commitdate NUMERIC
@attribute bug {False,True}

@data
4.0,80.0,6.0,859.188,15.2564,13108.1,226.0,0.0,0.0,0.0,0.0,1335511499.0,False
4.0,33.0,0.0,532.71,7.25,3862.15,106.0,0.0,0.0,0.0,0.0,1335511500.0,False
2.0,138.0,10.0,1210.91,23.4024,28338.3,312.0,0.0,1.0,0.0,0.0,1335782851.0,False
2.0,29.0,0.0,372.235,6.0,2233.41,102.0,0.0,0.0,0.0,0.0,1335782852.0,False
2.0,68.0,5.0,686.482,15.1724,10415.6,72.0,14.0,0.0,2.0,1.0,1335964754.0,False
2.0,23.0,0.0,230.753,6.0,1384.52,4.0,1.0,0.0,2.0,1.0,1335964754.0,False
2.0,68.0,5.0,686.482,15.1724,10415.6,1.0,1.0,0.0,3.0,2.0,1336031808.0,False
2.0,23.0,0.0,230.753,6.0,1384.52,1.0,1.0,0.0,3.0,2.0,1336031808.0,False
2.0,112.0,6.0,1312.19,24.4737,32114.1,98.0,18.0,0.0,11.0,3.0,1336732235.0,False
2.0,26.0,0.0,202.119,5.77778,1167.8,10.0,5.0,0.0,11.0,3.0,1336732235.0,False
2.0,112.0,5.0,1335.62,24.7368,33039.0,9.0,1.0,0.0,21.0,4.0,1337596719.0,False
2.0,26.0,0.0,202.119,5.77778,1167.8,1.0,1.0,0.0,21.0,4.0,1337596719.0,False
3.0,68.0,5.0,597.25,14.6875,8772.12,25.0,11.0,0.0,109.0,5.0,1345193879.0,False
3.0,23.0,0.0,162.848,5.86667,955.376,11.0,16.0,0.0,109.0,5.0,1345193879.0,False
3.0,114.0,6.0,1303.73,31.871,41551.2,261.0,0.0,1.0,0.0,0.0,1345794860.0,False
3.0,31.0,0.0,235.0,7.27273,1709.09,102.0,0.0,0.0,0.0,0.0,1345794860.0,False
3.0,110.0,6.0,1257.69,29.3226,36878.9,23.0,29.0,1.0,0.0,1.0,1345807273.0,False
3.0,32.0,0.0,267.353,7.6087,2034.21,3.0,2.0,0.0,0.0,1.0,1345807273.0,False
3.0,133.0,7.0,1714.87,37.625,64522.0,297.0,0.0,1.0,0.0,0.0,1345807807.0,False
3.0,37.0,0.0,294.686,7.5,2210.14,108.0,0.0,0.0,0.0,0.0,1345807807.0,False
3.0,68.0,5.0,597.25,14.6875,8772.12,1.0,1.0,0.0,116.0,6.0,1345809130.0,False
3.0,23.0,0.0,162.848,5.86667,955.376,1.0,1.0,0.0,116.0,6.0,1345809130.0,False
3.0,110.0,6.0,1257.69,29.3226,36878.9,1.0,1.0,1.0,3.0,2.0,1346067302.0,False
3.0,32.0,0.0,267.353,7.6087,2034.21,1.0,1.0,0.0,3.0,2.0,1346067302.0,False
3.0,133.0,7.0,1714.87,37.625,64522.0,1.0,1.0,1.0,3.0,1.0,1346067663.0,False
3.0,37.0,0.0,294.686,7.5,2210.14,1.0,1.0,0.0,3.0,1.0,1346067663.0,False
3.0,68.0,5.0,597.25,14.6875,8772.12,1.0,1.0,0.0,119.0,7.0,1346067874.0,False
3.0,23.0,0.0,162.848,5.86667,955.376,1.0,1.0,0.0,119.0,7.0,1346067874.0,False
3.0,127.0,6.0,1437.37,34.8387,50076.0,22.0,2.0,1.0,4.0,3.0,1346144135.0,False
3.0,32.0,0.0,277.442,7.82609,2171.28,2.0,2.0,0.0,4.0,3.0,1346144135.0,False
