@relation all_src_data

@attribute author NUMERIC
@attribute sloc NUMERIC
@attribute McCab NUMERIC
@attribute Hv NUMERIC
@attribute Hd NUMERIC
@attribute He NUMERIC
@attribute loc_add NUMERIC
@attribute loc_remove NUMERIC
@attribute nfunctions NUMERIC
@attribute commit_age NUMERIC
@attribute num_commits NUMERIC
@attribute commitdate NUMERIC
@attribute bug {False,True}

@data
1,40,0,310.229,9.0,2792.06,145,0,0,0,0,1326122445,False
1,23,0,181.11,6.1875,1120.62,93,0,0,0,0,1326122448,False
1,45,0,460.0,9.58696,4410.0,156,0,0,0,0,1326122509,False
1,25,0,287.343,6.95455,1998.34,95,0,0,0,0,1326122509,False
1,36,0,180.942,7.39286,1337.68,139,0,0,0,0,1326122545,False
1,25,0,118.593,4.92308,583.84,97,0,0,0,0,1326122546,False
1,39,0,275.098,9.0,2475.88,142,0,0,0,0,1326122583,True
1,22,0,149.278,5.78571,863.677,92,0,0,0,0,1326122583,False
1,17,0,218.261,6.0,1309.57,28,0,0,0,0,1326183548,False
1,8,0,18.0947,2.0,36.1895,19,0,0,0,0,1326183548,False
1,17,0,218.261,6.0,1309.57,28,0,0,0,0,1326183585,False
1,8,0,18.0947,2.0,36.1895,19,0,0,0,0,1326183585,False
1,17,0,218.261,6.0,1309.57,28,0,0,0,0,1326183624,False
1,8,0,18.0947,2.0,36.1895,19,0,0,0,0,1326183624,False
1,17,0,218.261,6.0,1309.57,28,0,0,0,0,1326183647,False
1,8,0,18.0947,2.0,36.1895,19,0,0,0,0,1326183647,False
1,129,0,2369.6,20.4545,48469.0,254,0,1,0,0,1326183808,False
1,61,0,697.708,6.36364,4439.96,135,0,0,0,0,1326183808,False
1,17,0,218.261,6.0,1309.57,28,0,0,0,0,1326183808,False
1,8,0,18.0947,2.0,36.1895,19,0,0,0,0,1326183808,False
3,49,0,280.944,7.7,2163.27,32,33,1,35,2,1329122124,False
3,49,0,280.944,7.7,2163.27,0,0,1,35,2,1329122124,False
3,28,0,76.1471,4.125,314.107,20,11,0,35,2,1329122124,False
3,28,0,76.1471,4.125,314.107,0,0,0,35,2,1329122124,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1329122124,False
3,17,0,218.261,6.0,1309.57,0,0,0,0,0,1329122124,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1329122124,False
3,8,0,18.0947,2.0,36.1895,0,0,0,0,0,1329122124,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1329124423,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1329124423,False
3,104,8,733.206,14.2969,10482.6,108,117,1,34,2,1329124424,False
3,32,0,196.215,4.3125,846.177,24,48,0,34,2,1329124424,False
3,46,0,232.793,7.0,1629.55,30,23,1,35,2,1329125320,False
3,46,0,232.793,7.0,1629.55,0,0,1,35,2,1329125320,False
3,34,0,196.215,4.3125,846.177,28,9,0,35,2,1329125320,False
3,34,0,196.215,4.3125,846.177,0,0,0,35,2,1329125320,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1329125320,False
3,17,0,218.261,6.0,1309.57,0,0,0,0,0,1329125320,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1329125320,False
3,8,0,18.0947,2.0,36.1895,0,0,0,0,0,1329125320,False
3,40,0,137.608,5.72727,788.116,25,16,1,35,2,1329125945,False
3,40,0,137.608,5.72727,788.116,0,0,1,35,2,1329125945,False
3,34,0,196.215,4.3125,846.177,24,9,0,35,2,1329125945,False
3,34,0,196.215,4.3125,846.177,0,0,0,35,2,1329125945,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1329125945,False
3,17,0,218.261,6.0,1309.57,0,0,0,0,0,1329125945,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1329125945,False
3,8,0,18.0947,2.0,36.1895,0,0,0,0,0,1329125945,False
3,36,0,83.7618,4.875,408.339,23,23,1,35,2,1329138009,True
3,36,0,83.7618,4.875,408.339,0,0,1,35,2,1329138009,True
3,33,0,191.756,4.3125,826.946,27,8,0,35,2,1329138009,False
3,33,0,191.756,4.3125,826.946,0,0,0,35,2,1329138009,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1329138009,False
3,17,0,218.261,6.0,1309.57,0,0,0,0,0,1329138009,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1329138009,False
3,8,0,18.0947,2.0,36.1895,0,0,0,0,0,1329138009,False
3,104,8,733.206,14.2969,10482.6,1,1,1,34,1,1329138947,False
3,32,0,196.215,4.3125,846.177,1,1,0,34,1,1329138947,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1329138947,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1329138947,False
3,86,6,599.711,15.5,9295.53,65,11,1,37,3,1329305840,False
3,35,0,212.607,4.41176,937.974,4,1,0,37,3,1329305840,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1329305840,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1329305840,False
3,57,6,225.621,8.43333,1902.74,29,5,1,37,3,1329306070,True
3,33,0,191.756,4.3125,826.946,1,1,0,37,3,1329306070,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1329306070,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1329306070,False
3,71,4,421.107,12.375,5211.2,44,13,1,37,3,1329306321,False
3,28,0,76.1471,4.125,314.107,1,1,0,37,3,1329306321,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1329306321,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1329306321,False
3,67,6,343.482,11.6667,4007.29,40,7,1,37,3,1329310453,False
3,34,0,196.215,4.3125,846.177,1,1,0,37,3,1329310453,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1329310453,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1329310453,False
3,104,8,748.385,14.0909,10545.4,3,3,1,36,3,1329311368,False
3,32,0,196.215,4.3125,846.177,1,1,0,36,3,1329311368,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1329311368,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1329311368,False
1,247,36,3243.27,31.6311,102588.0,237,17,3,46,4,1330068429,False
1,22,0,48.432,4.2,203.415,6,1,0,46,4,1330068429,False
1,17,0,218.261,6.0,1309.57,1,1,0,0,0,1330068429,False
1,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1330068429,False
1,55,6,208.974,7.85714,1641.93,7,1,1,46,4,1330068687,True
1,22,0,48.432,4.2,203.415,7,2,0,46,4,1330068687,False
1,17,0,218.261,6.0,1309.57,1,1,0,0,0,1330068687,False
1,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1330068687,False
1,74,6,504.439,14.2857,7206.28,7,2,1,46,4,1330068866,False
1,22,0,48.432,4.2,203.415,6,2,0,46,4,1330068866,False
1,17,0,218.261,6.0,1309.57,1,1,0,0,0,1330068866,False
1,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1330068866,False
1,65,6,325.485,11.2941,3676.06,7,1,1,46,4,1330069001,False
1,22,0,48.432,4.2,203.415,6,2,0,46,4,1330069001,False
1,17,0,218.261,6.0,1309.57,1,1,0,0,0,1330069001,False
1,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1330069001,False
1,17,0,218.261,6.0,1309.57,1,1,0,0,0,1330069769,False
1,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1330069769,False
1,191,18,2103.94,29.2308,61499.9,192,3,4,46,5,1330069770,False
1,22,0,48.432,4.2,203.415,1,1,0,46,5,1330069770,False
1,107,8,812.715,13.9286,11320.0,50,28,1,45,4,1330071821,False
1,22,0,48.432,4.2,203.415,6,2,0,45,4,1330071821,False
1,17,0,218.261,6.0,1309.57,1,1,0,0,0,1330071821,False
1,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1330071821,False
3,290,37,3881.52,41.8,162248.0,210,70,6,49,6,1330346519,False
3,22,0,48.432,4.2,203.415,5,5,0,49,6,1330346519,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1330346519,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1330346519,False
3,275,37,3371.04,33.3,112256.0,6,2,6,50,7,1330413897,False
3,22,0,48.432,4.2,203.415,1,1,0,50,7,1330413897,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1330413897,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1330413897,False
3,320,52,3740.01,33.8696,126673.0,95,49,6,51,8,1330524594,False
3,22,0,48.432,4.2,203.415,1,1,0,51,8,1330524594,False
3,17,0,218.261,6.0,1309.57,1,1,0,0,0,1330524594,False
3,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1330524594,False
1,627,73,11502.9,76.2637,877258.0,579,40,10,52,5,1330584372,False
1,28,0,104.0,3.9,405.6,14,2,0,52,5,1330584372,False
1,17,0,218.261,6.0,1309.57,1,1,0,0,0,1330584372,False
1,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1330584372,False
1,104,8,774.83,13.6765,10596.9,45,31,1,51,5,1330590780,False
1,22,0,48.432,4.2,203.415,1,1,0,51,5,1330590780,False
1,17,0,218.261,6.0,1309.57,1,1,0,0,0,1330590780,False
1,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1330590780,False
1,36,0,278.631,4.09524,1141.06,126,0,0,0,0,1330598665,False
1,64,0,337.764,10.5,3546.52,257,0,0,0,0,1330598665,False
1,66,0,544.152,4.375,2380.67,136,0,0,0,0,1330598665,False
1,804,109,16582.6,101.354,1680720.0,384,190,11,58,6,1331127987,False
1,29,0,133.438,4.0,533.75,3,2,0,58,6,1331127987,False
1,17,0,218.261,6.0,1309.57,1,1,0,0,0,1331127987,False
1,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1331127987,False
1,17,0,218.261,6.0,1309.57,1,1,0,0,0,1331132357,False
1,8,0,18.0947,2.0,36.1895,1,1,0,0,0,1331132357,False
1,806,109,16541.4,101.146,1673100.0,6,4,11,58,7,1331132358,False
1,29,0,133.438,4.0,533.75,1,1,0,58,7,1331132358,False
